Date: 2022-07-13 01:06:18s, Time_Cost: 8s, Epoch: [1/2000], Train_PSNR: 7.71, Val_PSNR: 19.31, Val_SSIM: 0.3960
Date: 2022-07-13 01:06:26s, Time_Cost: 8s, Epoch: [2/2000], Train_PSNR: 13.48, Val_PSNR: 22.21, Val_SSIM: 0.5743
Date: 2022-07-13 01:06:34s, Time_Cost: 8s, Epoch: [3/2000], Train_PSNR: 15.82, Val_PSNR: 24.00, Val_SSIM: 0.6676
Date: 2022-07-13 01:06:42s, Time_Cost: 8s, Epoch: [4/2000], Train_PSNR: 16.85, Val_PSNR: 24.87, Val_SSIM: 0.7233
Date: 2022-07-13 01:06:51s, Time_Cost: 8s, Epoch: [5/2000], Train_PSNR: 17.71, Val_PSNR: 25.64, Val_SSIM: 0.7684
Date: 2022-07-13 01:06:59s, Time_Cost: 8s, Epoch: [6/2000], Train_PSNR: 18.41, Val_PSNR: 25.90, Val_SSIM: 0.8046
Date: 2022-07-13 01:07:08s, Time_Cost: 8s, Epoch: [7/2000], Train_PSNR: 19.04, Val_PSNR: 26.78, Val_SSIM: 0.8311
Date: 2022-07-13 01:07:16s, Time_Cost: 8s, Epoch: [8/2000], Train_PSNR: 19.44, Val_PSNR: 27.75, Val_SSIM: 0.8492
Date: 2022-07-13 01:07:25s, Time_Cost: 9s, Epoch: [9/2000], Train_PSNR: 19.88, Val_PSNR: 28.20, Val_SSIM: 0.8605
Date: 2022-07-13 01:07:34s, Time_Cost: 9s, Epoch: [10/2000], Train_PSNR: 20.21, Val_PSNR: 28.48, Val_SSIM: 0.8718
Date: 2022-07-13 01:07:43s, Time_Cost: 9s, Epoch: [11/2000], Train_PSNR: 20.27, Val_PSNR: 28.53, Val_SSIM: 0.8702
Date: 2022-07-13 01:07:52s, Time_Cost: 9s, Epoch: [12/2000], Train_PSNR: 20.63, Val_PSNR: 28.96, Val_SSIM: 0.8834
Date: 2022-07-13 01:08:01s, Time_Cost: 9s, Epoch: [13/2000], Train_PSNR: 20.82, Val_PSNR: 28.90, Val_SSIM: 0.8907
Date: 2022-07-13 01:08:10s, Time_Cost: 9s, Epoch: [14/2000], Train_PSNR: 20.87, Val_PSNR: 26.84, Val_SSIM: 0.8899
Date: 2022-07-13 01:08:18s, Time_Cost: 9s, Epoch: [15/2000], Train_PSNR: 21.10, Val_PSNR: 29.29, Val_SSIM: 0.8983
Date: 2022-07-13 01:08:27s, Time_Cost: 9s, Epoch: [16/2000], Train_PSNR: 21.29, Val_PSNR: 27.86, Val_SSIM: 0.9010
Date: 2022-07-13 01:08:36s, Time_Cost: 9s, Epoch: [17/2000], Train_PSNR: 21.39, Val_PSNR: 28.53, Val_SSIM: 0.9048
Date: 2022-07-13 01:08:45s, Time_Cost: 9s, Epoch: [18/2000], Train_PSNR: 21.55, Val_PSNR: 28.67, Val_SSIM: 0.9072
Date: 2022-07-13 01:08:54s, Time_Cost: 9s, Epoch: [19/2000], Train_PSNR: 21.67, Val_PSNR: 28.66, Val_SSIM: 0.9083
Date: 2022-07-13 01:09:03s, Time_Cost: 9s, Epoch: [20/2000], Train_PSNR: 21.75, Val_PSNR: 28.49, Val_SSIM: 0.9116
Date: 2022-07-13 01:09:12s, Time_Cost: 9s, Epoch: [21/2000], Train_PSNR: 21.81, Val_PSNR: 28.93, Val_SSIM: 0.9134
Date: 2022-07-13 01:09:20s, Time_Cost: 9s, Epoch: [22/2000], Train_PSNR: 21.99, Val_PSNR: 28.76, Val_SSIM: 0.9167
Date: 2022-07-13 01:09:29s, Time_Cost: 9s, Epoch: [23/2000], Train_PSNR: 22.12, Val_PSNR: 29.11, Val_SSIM: 0.9179
Date: 2022-07-13 01:09:38s, Time_Cost: 9s, Epoch: [24/2000], Train_PSNR: 22.22, Val_PSNR: 28.88, Val_SSIM: 0.9207
Date: 2022-07-13 01:09:47s, Time_Cost: 9s, Epoch: [25/2000], Train_PSNR: 22.25, Val_PSNR: 28.76, Val_SSIM: 0.9220
Date: 2022-07-13 01:09:56s, Time_Cost: 9s, Epoch: [26/2000], Train_PSNR: 22.35, Val_PSNR: 28.77, Val_SSIM: 0.9233
Date: 2022-07-13 01:10:05s, Time_Cost: 9s, Epoch: [27/2000], Train_PSNR: 22.48, Val_PSNR: 28.39, Val_SSIM: 0.9245
Date: 2022-07-13 01:10:13s, Time_Cost: 9s, Epoch: [28/2000], Train_PSNR: 22.58, Val_PSNR: 27.91, Val_SSIM: 0.9258
Date: 2022-07-13 01:10:22s, Time_Cost: 9s, Epoch: [29/2000], Train_PSNR: 22.66, Val_PSNR: 28.92, Val_SSIM: 0.9274
Date: 2022-07-13 01:10:31s, Time_Cost: 9s, Epoch: [30/2000], Train_PSNR: 22.84, Val_PSNR: 29.11, Val_SSIM: 0.9291
Date: 2022-07-13 01:10:40s, Time_Cost: 9s, Epoch: [31/2000], Train_PSNR: 22.95, Val_PSNR: 28.61, Val_SSIM: 0.9302
Date: 2022-07-13 01:10:49s, Time_Cost: 9s, Epoch: [32/2000], Train_PSNR: 23.10, Val_PSNR: 28.97, Val_SSIM: 0.9314
Date: 2022-07-13 01:10:57s, Time_Cost: 9s, Epoch: [33/2000], Train_PSNR: 23.17, Val_PSNR: 27.78, Val_SSIM: 0.9326
Date: 2022-07-13 01:11:06s, Time_Cost: 9s, Epoch: [34/2000], Train_PSNR: 23.26, Val_PSNR: 28.25, Val_SSIM: 0.9313
Date: 2022-07-13 01:11:15s, Time_Cost: 9s, Epoch: [35/2000], Train_PSNR: 23.17, Val_PSNR: 28.38, Val_SSIM: 0.9333
Date: 2022-07-13 01:11:24s, Time_Cost: 9s, Epoch: [36/2000], Train_PSNR: 23.45, Val_PSNR: 28.39, Val_SSIM: 0.9358
