Date: 2022-07-11 16:23:22s, Time_Cost: 22s, Epoch: [1/250], Train_PSNR: 8.95, Val_PSNR: 21.53, Val_SSIM: 0.4230
Date: 2022-07-11 16:23:38s, Time_Cost: 16s, Epoch: [2/250], Train_PSNR: 14.65, Val_PSNR: 22.54, Val_SSIM: 0.5431
Date: 2022-07-11 16:23:54s, Time_Cost: 15s, Epoch: [3/250], Train_PSNR: 15.58, Val_PSNR: 23.09, Val_SSIM: 0.5918
Date: 2022-07-11 16:24:10s, Time_Cost: 16s, Epoch: [4/250], Train_PSNR: 16.20, Val_PSNR: 23.54, Val_SSIM: 0.6218
Date: 2022-07-11 16:24:26s, Time_Cost: 15s, Epoch: [5/250], Train_PSNR: 16.82, Val_PSNR: 23.65, Val_SSIM: 0.6507
Date: 2022-07-11 16:24:41s, Time_Cost: 15s, Epoch: [6/250], Train_PSNR: 16.95, Val_PSNR: 23.64, Val_SSIM: 0.6698
Date: 2022-07-11 16:24:57s, Time_Cost: 15s, Epoch: [7/250], Train_PSNR: 17.56, Val_PSNR: 23.78, Val_SSIM: 0.6914
Date: 2022-07-11 16:25:12s, Time_Cost: 15s, Epoch: [8/250], Train_PSNR: 17.96, Val_PSNR: 24.02, Val_SSIM: 0.7018
Date: 2022-07-11 16:25:28s, Time_Cost: 15s, Epoch: [9/250], Train_PSNR: 18.22, Val_PSNR: 23.40, Val_SSIM: 0.7120
Date: 2022-07-11 16:25:44s, Time_Cost: 16s, Epoch: [10/250], Train_PSNR: 18.55, Val_PSNR: 23.90, Val_SSIM: 0.7237
Date: 2022-07-11 16:25:59s, Time_Cost: 15s, Epoch: [11/250], Train_PSNR: 18.57, Val_PSNR: 24.08, Val_SSIM: 0.7299
Date: 2022-07-11 16:26:15s, Time_Cost: 15s, Epoch: [12/250], Train_PSNR: 19.09, Val_PSNR: 25.07, Val_SSIM: 0.7418
Date: 2022-07-11 16:26:30s, Time_Cost: 15s, Epoch: [13/250], Train_PSNR: 19.12, Val_PSNR: 24.87, Val_SSIM: 0.7475
Date: 2022-07-11 16:26:46s, Time_Cost: 15s, Epoch: [14/250], Train_PSNR: 19.34, Val_PSNR: 24.94, Val_SSIM: 0.7502
Date: 2022-07-11 16:27:01s, Time_Cost: 15s, Epoch: [15/250], Train_PSNR: 19.56, Val_PSNR: 25.58, Val_SSIM: 0.7609
Date: 2022-07-11 16:27:17s, Time_Cost: 15s, Epoch: [16/250], Train_PSNR: 19.74, Val_PSNR: 25.39, Val_SSIM: 0.7611
Date: 2022-07-11 16:27:32s, Time_Cost: 15s, Epoch: [17/250], Train_PSNR: 19.95, Val_PSNR: 25.94, Val_SSIM: 0.7701
Date: 2022-07-11 16:27:47s, Time_Cost: 15s, Epoch: [18/250], Train_PSNR: 20.06, Val_PSNR: 25.78, Val_SSIM: 0.7710
Date: 2022-07-11 16:28:03s, Time_Cost: 16s, Epoch: [19/250], Train_PSNR: 20.01, Val_PSNR: 26.09, Val_SSIM: 0.7785
Date: 2022-07-11 16:28:19s, Time_Cost: 15s, Epoch: [20/250], Train_PSNR: 20.12, Val_PSNR: 26.27, Val_SSIM: 0.7839
Date: 2022-07-11 16:28:35s, Time_Cost: 16s, Epoch: [21/250], Train_PSNR: 20.44, Val_PSNR: 25.91, Val_SSIM: 0.7779
Date: 2022-07-11 16:28:50s, Time_Cost: 15s, Epoch: [22/250], Train_PSNR: 20.35, Val_PSNR: 26.15, Val_SSIM: 0.7876
Date: 2022-07-11 16:29:05s, Time_Cost: 15s, Epoch: [23/250], Train_PSNR: 20.54, Val_PSNR: 26.34, Val_SSIM: 0.7889
Date: 2022-07-11 16:29:21s, Time_Cost: 15s, Epoch: [24/250], Train_PSNR: 20.47, Val_PSNR: 26.54, Val_SSIM: 0.7941
Date: 2022-07-11 16:29:37s, Time_Cost: 15s, Epoch: [25/250], Train_PSNR: 20.73, Val_PSNR: 26.43, Val_SSIM: 0.7951
Date: 2022-07-11 16:29:52s, Time_Cost: 15s, Epoch: [26/250], Train_PSNR: 20.80, Val_PSNR: 26.68, Val_SSIM: 0.7984
Date: 2022-07-11 16:30:07s, Time_Cost: 15s, Epoch: [27/250], Train_PSNR: 20.97, Val_PSNR: 26.96, Val_SSIM: 0.8021
Date: 2022-07-11 16:30:23s, Time_Cost: 15s, Epoch: [28/250], Train_PSNR: 20.98, Val_PSNR: 26.77, Val_SSIM: 0.8029
Date: 2022-07-11 16:30:38s, Time_Cost: 15s, Epoch: [29/250], Train_PSNR: 20.79, Val_PSNR: 26.97, Val_SSIM: 0.8042
Date: 2022-07-11 16:30:54s, Time_Cost: 15s, Epoch: [30/250], Train_PSNR: 20.99, Val_PSNR: 26.86, Val_SSIM: 0.8061
Date: 2022-07-11 16:31:09s, Time_Cost: 15s, Epoch: [31/250], Train_PSNR: 20.93, Val_PSNR: 27.04, Val_SSIM: 0.8089
Date: 2022-07-11 16:31:25s, Time_Cost: 15s, Epoch: [32/250], Train_PSNR: 21.20, Val_PSNR: 26.86, Val_SSIM: 0.8089
Date: 2022-07-11 16:31:40s, Time_Cost: 15s, Epoch: [33/250], Train_PSNR: 21.23, Val_PSNR: 26.51, Val_SSIM: 0.8029
Date: 2022-07-11 16:31:55s, Time_Cost: 15s, Epoch: [34/250], Train_PSNR: 21.22, Val_PSNR: 26.82, Val_SSIM: 0.8121
Date: 2022-07-11 16:32:11s, Time_Cost: 15s, Epoch: [35/250], Train_PSNR: 21.17, Val_PSNR: 26.55, Val_SSIM: 0.8097
Date: 2022-07-11 16:32:26s, Time_Cost: 15s, Epoch: [36/250], Train_PSNR: 21.21, Val_PSNR: 26.81, Val_SSIM: 0.8082
Date: 2022-07-11 16:32:41s, Time_Cost: 15s, Epoch: [37/250], Train_PSNR: 21.52, Val_PSNR: 26.52, Val_SSIM: 0.8100
Date: 2022-07-11 16:32:56s, Time_Cost: 15s, Epoch: [38/250], Train_PSNR: 21.33, Val_PSNR: 26.92, Val_SSIM: 0.8168
Date: 2022-07-11 16:33:12s, Time_Cost: 15s, Epoch: [39/250], Train_PSNR: 21.30, Val_PSNR: 26.85, Val_SSIM: 0.8156
Date: 2022-07-11 16:33:27s, Time_Cost: 15s, Epoch: [40/250], Train_PSNR: 21.46, Val_PSNR: 27.10, Val_SSIM: 0.8202
Date: 2022-07-11 16:33:42s, Time_Cost: 15s, Epoch: [41/250], Train_PSNR: 21.52, Val_PSNR: 26.78, Val_SSIM: 0.8184
Date: 2022-07-11 16:33:58s, Time_Cost: 15s, Epoch: [42/250], Train_PSNR: 21.47, Val_PSNR: 27.24, Val_SSIM: 0.8161
Date: 2022-07-11 16:34:13s, Time_Cost: 15s, Epoch: [43/250], Train_PSNR: 21.62, Val_PSNR: 26.86, Val_SSIM: 0.8172
Date: 2022-07-11 16:34:29s, Time_Cost: 15s, Epoch: [44/250], Train_PSNR: 21.74, Val_PSNR: 26.70, Val_SSIM: 0.8159
Date: 2022-07-11 16:34:44s, Time_Cost: 15s, Epoch: [45/250], Train_PSNR: 21.54, Val_PSNR: 26.90, Val_SSIM: 0.8234
Date: 2022-07-11 16:34:59s, Time_Cost: 15s, Epoch: [46/250], Train_PSNR: 21.69, Val_PSNR: 27.22, Val_SSIM: 0.8226
Date: 2022-07-11 16:35:15s, Time_Cost: 15s, Epoch: [47/250], Train_PSNR: 21.86, Val_PSNR: 27.06, Val_SSIM: 0.8245
Date: 2022-07-11 16:35:30s, Time_Cost: 15s, Epoch: [48/250], Train_PSNR: 21.89, Val_PSNR: 27.49, Val_SSIM: 0.8277
Date: 2022-07-11 16:35:46s, Time_Cost: 16s, Epoch: [49/250], Train_PSNR: 21.85, Val_PSNR: 27.23, Val_SSIM: 0.8276
Date: 2022-07-11 16:36:01s, Time_Cost: 15s, Epoch: [50/250], Train_PSNR: 21.84, Val_PSNR: 26.84, Val_SSIM: 0.8240
Date: 2022-07-11 16:36:16s, Time_Cost: 15s, Epoch: [51/250], Train_PSNR: 21.98, Val_PSNR: 27.30, Val_SSIM: 0.8294
Date: 2022-07-11 16:36:32s, Time_Cost: 15s, Epoch: [52/250], Train_PSNR: 21.97, Val_PSNR: 27.16, Val_SSIM: 0.8286
Date: 2022-07-11 16:36:47s, Time_Cost: 15s, Epoch: [53/250], Train_PSNR: 21.95, Val_PSNR: 27.11, Val_SSIM: 0.8313
Date: 2022-07-11 16:37:02s, Time_Cost: 15s, Epoch: [54/250], Train_PSNR: 22.11, Val_PSNR: 27.16, Val_SSIM: 0.8254
Date: 2022-07-11 16:37:18s, Time_Cost: 15s, Epoch: [55/250], Train_PSNR: 21.88, Val_PSNR: 27.51, Val_SSIM: 0.8299
Date: 2022-07-11 16:37:33s, Time_Cost: 15s, Epoch: [56/250], Train_PSNR: 22.07, Val_PSNR: 26.97, Val_SSIM: 0.8295
Date: 2022-07-11 16:37:49s, Time_Cost: 15s, Epoch: [57/250], Train_PSNR: 21.89, Val_PSNR: 26.79, Val_SSIM: 0.8301
Date: 2022-07-11 16:38:04s, Time_Cost: 15s, Epoch: [58/250], Train_PSNR: 22.09, Val_PSNR: 27.19, Val_SSIM: 0.8331
Date: 2022-07-11 16:38:19s, Time_Cost: 15s, Epoch: [59/250], Train_PSNR: 22.02, Val_PSNR: 27.40, Val_SSIM: 0.8354
Date: 2022-07-11 16:38:35s, Time_Cost: 15s, Epoch: [60/250], Train_PSNR: 22.13, Val_PSNR: 26.98, Val_SSIM: 0.8344
Date: 2022-07-11 16:38:50s, Time_Cost: 15s, Epoch: [61/250], Train_PSNR: 22.17, Val_PSNR: 27.55, Val_SSIM: 0.8374
Date: 2022-07-11 16:39:06s, Time_Cost: 15s, Epoch: [62/250], Train_PSNR: 22.07, Val_PSNR: 27.68, Val_SSIM: 0.8381
Date: 2022-07-11 16:39:22s, Time_Cost: 15s, Epoch: [63/250], Train_PSNR: 22.18, Val_PSNR: 27.50, Val_SSIM: 0.8354
Date: 2022-07-11 16:39:37s, Time_Cost: 15s, Epoch: [64/250], Train_PSNR: 22.26, Val_PSNR: 27.05, Val_SSIM: 0.8363
Date: 2022-07-11 16:39:52s, Time_Cost: 15s, Epoch: [65/250], Train_PSNR: 22.20, Val_PSNR: 27.23, Val_SSIM: 0.8385
Date: 2022-07-11 16:40:08s, Time_Cost: 15s, Epoch: [66/250], Train_PSNR: 22.30, Val_PSNR: 27.15, Val_SSIM: 0.8389
Date: 2022-07-11 16:40:23s, Time_Cost: 15s, Epoch: [67/250], Train_PSNR: 22.34, Val_PSNR: 27.11, Val_SSIM: 0.8404
Date: 2022-07-11 16:40:39s, Time_Cost: 15s, Epoch: [68/250], Train_PSNR: 22.46, Val_PSNR: 27.19, Val_SSIM: 0.8395
Date: 2022-07-11 16:40:54s, Time_Cost: 15s, Epoch: [69/250], Train_PSNR: 22.27, Val_PSNR: 27.02, Val_SSIM: 0.8409
Date: 2022-07-11 16:41:09s, Time_Cost: 16s, Epoch: [70/250], Train_PSNR: 22.21, Val_PSNR: 27.04, Val_SSIM: 0.8397
Date: 2022-07-11 16:41:25s, Time_Cost: 15s, Epoch: [71/250], Train_PSNR: 22.45, Val_PSNR: 27.57, Val_SSIM: 0.8433
Date: 2022-07-11 16:41:40s, Time_Cost: 16s, Epoch: [72/250], Train_PSNR: 22.39, Val_PSNR: 26.96, Val_SSIM: 0.8401
Date: 2022-07-11 16:41:56s, Time_Cost: 15s, Epoch: [73/250], Train_PSNR: 22.31, Val_PSNR: 27.09, Val_SSIM: 0.8402
