Date: 2022-07-14 17:34:32s, Time_Cost: 107s, Epoch: [1/300], Train_PSNR: 15.60, Val_PSNR: 23.38, Val_SSIM: 0.8337
Date: 2022-07-14 17:36:14s, Time_Cost: 102s, Epoch: [2/300], Train_PSNR: 19.21, Val_PSNR: 26.03, Val_SSIM: 0.8996
Date: 2022-07-14 17:37:56s, Time_Cost: 102s, Epoch: [3/300], Train_PSNR: 20.94, Val_PSNR: 26.62, Val_SSIM: 0.9178
Date: 2022-07-14 17:39:39s, Time_Cost: 102s, Epoch: [4/300], Train_PSNR: 21.77, Val_PSNR: 27.90, Val_SSIM: 0.9189
Date: 2022-07-14 17:41:21s, Time_Cost: 102s, Epoch: [5/300], Train_PSNR: 22.38, Val_PSNR: 27.10, Val_SSIM: 0.9217
Date: 2022-07-14 17:43:02s, Time_Cost: 102s, Epoch: [6/300], Train_PSNR: 22.83, Val_PSNR: 28.76, Val_SSIM: 0.9358
Date: 2022-07-14 17:44:44s, Time_Cost: 102s, Epoch: [7/300], Train_PSNR: 23.19, Val_PSNR: 27.67, Val_SSIM: 0.9370
Date: 2022-07-14 17:46:26s, Time_Cost: 102s, Epoch: [8/300], Train_PSNR: 23.46, Val_PSNR: 26.78, Val_SSIM: 0.9346
Date: 2022-07-14 17:48:08s, Time_Cost: 102s, Epoch: [9/300], Train_PSNR: 23.92, Val_PSNR: 28.01, Val_SSIM: 0.9375
Date: 2022-07-14 17:49:50s, Time_Cost: 102s, Epoch: [10/300], Train_PSNR: 24.21, Val_PSNR: 28.60, Val_SSIM: 0.9338
Date: 2022-07-14 17:51:32s, Time_Cost: 102s, Epoch: [11/300], Train_PSNR: 24.44, Val_PSNR: 26.85, Val_SSIM: 0.9386
Date: 2022-07-14 17:53:13s, Time_Cost: 102s, Epoch: [12/300], Train_PSNR: 24.66, Val_PSNR: 26.50, Val_SSIM: 0.9333
Date: 2022-07-14 17:54:55s, Time_Cost: 102s, Epoch: [13/300], Train_PSNR: 24.81, Val_PSNR: 26.16, Val_SSIM: 0.9363
Date: 2022-07-14 17:56:37s, Time_Cost: 102s, Epoch: [14/300], Train_PSNR: 24.82, Val_PSNR: 25.19, Val_SSIM: 0.9298
Date: 2022-07-14 17:58:19s, Time_Cost: 102s, Epoch: [15/300], Train_PSNR: 25.17, Val_PSNR: 27.09, Val_SSIM: 0.9253
Date: 2022-07-14 18:00:01s, Time_Cost: 102s, Epoch: [16/300], Train_PSNR: 25.06, Val_PSNR: 25.99, Val_SSIM: 0.9351
Date: 2022-07-14 18:01:43s, Time_Cost: 102s, Epoch: [17/300], Train_PSNR: 25.32, Val_PSNR: 28.52, Val_SSIM: 0.9326
Date: 2022-07-14 18:03:25s, Time_Cost: 102s, Epoch: [18/300], Train_PSNR: 25.76, Val_PSNR: 27.10, Val_SSIM: 0.9398
Date: 2022-07-14 18:05:07s, Time_Cost: 102s, Epoch: [19/300], Train_PSNR: 25.81, Val_PSNR: 27.49, Val_SSIM: 0.9331
Date: 2022-07-14 18:06:49s, Time_Cost: 102s, Epoch: [20/300], Train_PSNR: 25.98, Val_PSNR: 27.49, Val_SSIM: 0.9425
Date: 2022-07-14 18:08:31s, Time_Cost: 102s, Epoch: [21/300], Train_PSNR: 26.33, Val_PSNR: 24.64, Val_SSIM: 0.9263
Date: 2022-07-14 18:10:13s, Time_Cost: 102s, Epoch: [22/300], Train_PSNR: 26.46, Val_PSNR: 28.57, Val_SSIM: 0.9466
Date: 2022-07-14 18:11:55s, Time_Cost: 102s, Epoch: [23/300], Train_PSNR: 26.96, Val_PSNR: 28.33, Val_SSIM: 0.9468
Date: 2022-07-14 18:13:37s, Time_Cost: 102s, Epoch: [24/300], Train_PSNR: 27.13, Val_PSNR: 27.78, Val_SSIM: 0.9442
Date: 2022-07-14 18:15:19s, Time_Cost: 102s, Epoch: [25/300], Train_PSNR: 27.33, Val_PSNR: 28.13, Val_SSIM: 0.9437
Date: 2022-07-14 18:17:01s, Time_Cost: 102s, Epoch: [26/300], Train_PSNR: 27.49, Val_PSNR: 26.93, Val_SSIM: 0.9400
Date: 2022-07-14 18:18:43s, Time_Cost: 102s, Epoch: [27/300], Train_PSNR: 27.77, Val_PSNR: 27.66, Val_SSIM: 0.9428
Date: 2022-07-14 18:20:25s, Time_Cost: 102s, Epoch: [28/300], Train_PSNR: 27.71, Val_PSNR: 27.94, Val_SSIM: 0.9465
Date: 2022-07-14 18:22:07s, Time_Cost: 102s, Epoch: [29/300], Train_PSNR: 28.15, Val_PSNR: 27.38, Val_SSIM: 0.9426
Date: 2022-07-14 18:23:49s, Time_Cost: 102s, Epoch: [30/300], Train_PSNR: 28.28, Val_PSNR: 25.60, Val_SSIM: 0.9371
Date: 2022-07-14 18:25:31s, Time_Cost: 102s, Epoch: [31/300], Train_PSNR: 28.32, Val_PSNR: 27.57, Val_SSIM: 0.9427
Date: 2022-07-14 18:27:13s, Time_Cost: 102s, Epoch: [32/300], Train_PSNR: 28.20, Val_PSNR: 27.12, Val_SSIM: 0.9419
Date: 2022-07-14 18:28:55s, Time_Cost: 102s, Epoch: [33/300], Train_PSNR: 28.47, Val_PSNR: 27.65, Val_SSIM: 0.9452
Date: 2022-07-14 18:30:37s, Time_Cost: 102s, Epoch: [34/300], Train_PSNR: 28.64, Val_PSNR: 25.31, Val_SSIM: 0.9370
Date: 2022-07-14 18:32:19s, Time_Cost: 102s, Epoch: [35/300], Train_PSNR: 28.80, Val_PSNR: 27.03, Val_SSIM: 0.9420
Date: 2022-07-14 18:34:01s, Time_Cost: 102s, Epoch: [36/300], Train_PSNR: 28.87, Val_PSNR: 27.36, Val_SSIM: 0.9463
Date: 2022-07-14 18:35:43s, Time_Cost: 102s, Epoch: [37/300], Train_PSNR: 28.60, Val_PSNR: 26.88, Val_SSIM: 0.9417
Date: 2022-07-14 18:37:25s, Time_Cost: 102s, Epoch: [38/300], Train_PSNR: 29.04, Val_PSNR: 28.02, Val_SSIM: 0.9424
Date: 2022-07-14 18:39:07s, Time_Cost: 102s, Epoch: [39/300], Train_PSNR: 29.01, Val_PSNR: 26.83, Val_SSIM: 0.9430
Date: 2022-07-14 18:40:49s, Time_Cost: 102s, Epoch: [40/300], Train_PSNR: 28.99, Val_PSNR: 26.24, Val_SSIM: 0.9390
Date: 2022-07-14 18:42:31s, Time_Cost: 102s, Epoch: [41/300], Train_PSNR: 29.47, Val_PSNR: 26.85, Val_SSIM: 0.9430
Date: 2022-07-14 18:44:13s, Time_Cost: 102s, Epoch: [42/300], Train_PSNR: 29.57, Val_PSNR: 27.11, Val_SSIM: 0.9440
Date: 2022-07-14 18:45:56s, Time_Cost: 102s, Epoch: [43/300], Train_PSNR: 29.48, Val_PSNR: 27.88, Val_SSIM: 0.9430
Date: 2022-07-14 18:47:38s, Time_Cost: 102s, Epoch: [44/300], Train_PSNR: 29.22, Val_PSNR: 27.42, Val_SSIM: 0.9398
Date: 2022-07-14 18:49:21s, Time_Cost: 102s, Epoch: [45/300], Train_PSNR: 29.14, Val_PSNR: 27.26, Val_SSIM: 0.9461
Date: 2022-07-14 18:51:03s, Time_Cost: 102s, Epoch: [46/300], Train_PSNR: 29.79, Val_PSNR: 25.45, Val_SSIM: 0.9396
Date: 2022-07-14 18:52:45s, Time_Cost: 102s, Epoch: [47/300], Train_PSNR: 29.91, Val_PSNR: 28.41, Val_SSIM: 0.9489
Date: 2022-07-14 18:54:27s, Time_Cost: 102s, Epoch: [48/300], Train_PSNR: 29.79, Val_PSNR: 27.13, Val_SSIM: 0.9472
Date: 2022-07-14 18:56:09s, Time_Cost: 102s, Epoch: [49/300], Train_PSNR: 29.80, Val_PSNR: 26.14, Val_SSIM: 0.9385
Date: 2022-07-14 18:57:51s, Time_Cost: 102s, Epoch: [50/300], Train_PSNR: 29.71, Val_PSNR: 27.29, Val_SSIM: 0.9477
Date: 2022-07-14 18:59:34s, Time_Cost: 103s, Epoch: [51/300], Train_PSNR: 29.85, Val_PSNR: 26.68, Val_SSIM: 0.9437
Date: 2022-07-14 19:01:16s, Time_Cost: 102s, Epoch: [52/300], Train_PSNR: 30.11, Val_PSNR: 26.94, Val_SSIM: 0.9433
Date: 2022-07-14 19:02:59s, Time_Cost: 102s, Epoch: [53/300], Train_PSNR: 30.10, Val_PSNR: 26.79, Val_SSIM: 0.9456
Date: 2022-07-14 19:04:41s, Time_Cost: 102s, Epoch: [54/300], Train_PSNR: 30.16, Val_PSNR: 28.02, Val_SSIM: 0.9497
Date: 2022-07-14 19:06:23s, Time_Cost: 102s, Epoch: [55/300], Train_PSNR: 29.91, Val_PSNR: 26.98, Val_SSIM: 0.9429
Date: 2022-07-14 19:08:05s, Time_Cost: 102s, Epoch: [56/300], Train_PSNR: 30.44, Val_PSNR: 26.70, Val_SSIM: 0.9415
Date: 2022-07-14 19:09:47s, Time_Cost: 102s, Epoch: [57/300], Train_PSNR: 26.72, Val_PSNR: 24.38, Val_SSIM: 0.9292
Date: 2022-07-14 19:11:29s, Time_Cost: 102s, Epoch: [58/300], Train_PSNR: 22.42, Val_PSNR: 24.92, Val_SSIM: 0.9415
