Date: 2022-07-21 17:43:36s, Time_Cost: 118s, Epoch: [1/100], Train_PSNR: 15.85, Val_PSNR: 23.79, Val_SSIM: 0.8147
Date: 2022-07-21 17:45:40s, Time_Cost: 124s, Epoch: [2/100], Train_PSNR: 19.64, Val_PSNR: 24.41, Val_SSIM: 0.8992
Date: 2022-07-21 17:47:44s, Time_Cost: 123s, Epoch: [3/100], Train_PSNR: 21.28, Val_PSNR: 26.81, Val_SSIM: 0.9250
Date: 2022-07-21 17:49:47s, Time_Cost: 123s, Epoch: [4/100], Train_PSNR: 22.23, Val_PSNR: 28.08, Val_SSIM: 0.9319
Date: 2022-07-21 17:51:50s, Time_Cost: 123s, Epoch: [5/100], Train_PSNR: 22.85, Val_PSNR: 29.27, Val_SSIM: 0.9366
Date: 2022-07-21 17:53:53s, Time_Cost: 123s, Epoch: [6/100], Train_PSNR: 23.28, Val_PSNR: 26.36, Val_SSIM: 0.9413
Date: 2022-07-21 17:55:55s, Time_Cost: 122s, Epoch: [7/100], Train_PSNR: 23.79, Val_PSNR: 29.12, Val_SSIM: 0.9474
Date: 2022-07-21 17:57:58s, Time_Cost: 123s, Epoch: [8/100], Train_PSNR: 24.24, Val_PSNR: 27.85, Val_SSIM: 0.9530
Date: 2022-07-21 18:00:00s, Time_Cost: 122s, Epoch: [9/100], Train_PSNR: 24.64, Val_PSNR: 29.86, Val_SSIM: 0.9533
Date: 2022-07-21 18:02:03s, Time_Cost: 123s, Epoch: [10/100], Train_PSNR: 24.92, Val_PSNR: 29.84, Val_SSIM: 0.9524
Date: 2022-07-21 18:04:06s, Time_Cost: 123s, Epoch: [11/100], Train_PSNR: 25.35, Val_PSNR: 29.01, Val_SSIM: 0.9558
Date: 2022-07-21 18:06:08s, Time_Cost: 123s, Epoch: [12/100], Train_PSNR: 25.73, Val_PSNR: 30.85, Val_SSIM: 0.9571
Date: 2022-07-21 18:08:11s, Time_Cost: 122s, Epoch: [13/100], Train_PSNR: 26.04, Val_PSNR: 29.08, Val_SSIM: 0.9574
Date: 2022-07-21 18:10:14s, Time_Cost: 123s, Epoch: [14/100], Train_PSNR: 26.33, Val_PSNR: 30.06, Val_SSIM: 0.9568
Date: 2022-07-21 18:12:16s, Time_Cost: 123s, Epoch: [15/100], Train_PSNR: 26.71, Val_PSNR: 29.15, Val_SSIM: 0.9588
Date: 2022-07-21 18:14:19s, Time_Cost: 123s, Epoch: [16/100], Train_PSNR: 26.95, Val_PSNR: 29.41, Val_SSIM: 0.9607
Date: 2022-07-21 18:16:22s, Time_Cost: 123s, Epoch: [17/100], Train_PSNR: 27.28, Val_PSNR: 29.85, Val_SSIM: 0.9616
Date: 2022-07-21 18:18:25s, Time_Cost: 123s, Epoch: [18/100], Train_PSNR: 27.54, Val_PSNR: 29.29, Val_SSIM: 0.9592
Date: 2022-07-21 18:20:27s, Time_Cost: 123s, Epoch: [19/100], Train_PSNR: 27.72, Val_PSNR: 29.72, Val_SSIM: 0.9622
Date: 2022-07-21 18:22:30s, Time_Cost: 123s, Epoch: [20/100], Train_PSNR: 27.95, Val_PSNR: 30.81, Val_SSIM: 0.9602
Date: 2022-07-21 18:24:33s, Time_Cost: 123s, Epoch: [21/100], Train_PSNR: 28.11, Val_PSNR: 29.66, Val_SSIM: 0.9623
Date: 2022-07-21 18:26:36s, Time_Cost: 123s, Epoch: [22/100], Train_PSNR: 28.08, Val_PSNR: 29.36, Val_SSIM: 0.9615
Date: 2022-07-21 18:28:38s, Time_Cost: 123s, Epoch: [23/100], Train_PSNR: 28.41, Val_PSNR: 28.93, Val_SSIM: 0.9620
Date: 2022-07-21 18:30:41s, Time_Cost: 123s, Epoch: [24/100], Train_PSNR: 28.54, Val_PSNR: 29.05, Val_SSIM: 0.9550
Date: 2022-07-21 18:32:44s, Time_Cost: 123s, Epoch: [25/100], Train_PSNR: 28.62, Val_PSNR: 29.53, Val_SSIM: 0.9597
Date: 2022-07-21 18:34:47s, Time_Cost: 123s, Epoch: [26/100], Train_PSNR: 28.79, Val_PSNR: 28.89, Val_SSIM: 0.9598
Date: 2022-07-21 18:36:50s, Time_Cost: 123s, Epoch: [27/100], Train_PSNR: 28.89, Val_PSNR: 28.47, Val_SSIM: 0.9598
Date: 2022-07-21 18:38:52s, Time_Cost: 123s, Epoch: [28/100], Train_PSNR: 28.99, Val_PSNR: 28.11, Val_SSIM: 0.9595
Date: 2022-07-21 18:40:55s, Time_Cost: 123s, Epoch: [29/100], Train_PSNR: 29.06, Val_PSNR: 28.29, Val_SSIM: 0.9578
Date: 2022-07-21 18:42:58s, Time_Cost: 123s, Epoch: [30/100], Train_PSNR: 29.19, Val_PSNR: 27.42, Val_SSIM: 0.9589
Date: 2022-07-21 18:45:01s, Time_Cost: 123s, Epoch: [31/100], Train_PSNR: 29.28, Val_PSNR: 27.81, Val_SSIM: 0.9608
Date: 2022-07-21 18:47:04s, Time_Cost: 123s, Epoch: [32/100], Train_PSNR: 29.34, Val_PSNR: 28.87, Val_SSIM: 0.9581
Date: 2022-07-21 18:49:07s, Time_Cost: 123s, Epoch: [33/100], Train_PSNR: 29.43, Val_PSNR: 27.68, Val_SSIM: 0.9583
Date: 2022-07-21 18:51:09s, Time_Cost: 123s, Epoch: [34/100], Train_PSNR: 29.51, Val_PSNR: 27.27, Val_SSIM: 0.9583
Date: 2022-07-21 18:53:12s, Time_Cost: 123s, Epoch: [35/100], Train_PSNR: 29.57, Val_PSNR: 27.39, Val_SSIM: 0.9583
Date: 2022-07-21 18:55:15s, Time_Cost: 123s, Epoch: [36/100], Train_PSNR: 29.63, Val_PSNR: 27.27, Val_SSIM: 0.9583
Date: 2022-07-21 18:57:18s, Time_Cost: 123s, Epoch: [37/100], Train_PSNR: 29.68, Val_PSNR: 26.98, Val_SSIM: 0.9586
Date: 2022-07-21 18:59:20s, Time_Cost: 123s, Epoch: [38/100], Train_PSNR: 29.73, Val_PSNR: 28.02, Val_SSIM: 0.9583
Date: 2022-07-21 19:01:23s, Time_Cost: 123s, Epoch: [39/100], Train_PSNR: 29.77, Val_PSNR: 27.23, Val_SSIM: 0.9578
Date: 2022-07-21 19:03:26s, Time_Cost: 123s, Epoch: [40/100], Train_PSNR: 29.81, Val_PSNR: 26.88, Val_SSIM: 0.9578
Date: 2022-07-21 19:05:29s, Time_Cost: 123s, Epoch: [41/100], Train_PSNR: 29.85, Val_PSNR: 27.06, Val_SSIM: 0.9573
Date: 2022-07-21 19:07:32s, Time_Cost: 123s, Epoch: [42/100], Train_PSNR: 29.87, Val_PSNR: 27.17, Val_SSIM: 0.9578
Date: 2022-07-21 19:09:35s, Time_Cost: 123s, Epoch: [43/100], Train_PSNR: 29.90, Val_PSNR: 26.92, Val_SSIM: 0.9564
Date: 2022-07-21 19:11:38s, Time_Cost: 123s, Epoch: [44/100], Train_PSNR: 29.91, Val_PSNR: 27.13, Val_SSIM: 0.9573
Date: 2022-07-21 19:13:41s, Time_Cost: 123s, Epoch: [45/100], Train_PSNR: 29.93, Val_PSNR: 26.98, Val_SSIM: 0.9567
Date: 2022-07-21 19:15:43s, Time_Cost: 123s, Epoch: [46/100], Train_PSNR: 29.94, Val_PSNR: 27.03, Val_SSIM: 0.9569
Date: 2022-07-21 19:17:46s, Time_Cost: 123s, Epoch: [47/100], Train_PSNR: 29.95, Val_PSNR: 27.01, Val_SSIM: 0.9569
Date: 2022-07-21 19:19:49s, Time_Cost: 123s, Epoch: [48/100], Train_PSNR: 29.95, Val_PSNR: 27.03, Val_SSIM: 0.9570
Date: 2022-07-21 19:21:52s, Time_Cost: 123s, Epoch: [49/100], Train_PSNR: 29.96, Val_PSNR: 27.01, Val_SSIM: 0.9569
Date: 2022-07-21 19:23:55s, Time_Cost: 123s, Epoch: [50/100], Train_PSNR: 29.96, Val_PSNR: 27.01, Val_SSIM: 0.9569
Date: 2022-07-21 19:25:58s, Time_Cost: 123s, Epoch: [51/100], Train_PSNR: 29.96, Val_PSNR: 27.03, Val_SSIM: 0.9570
Date: 2022-07-21 19:28:01s, Time_Cost: 123s, Epoch: [52/100], Train_PSNR: 29.96, Val_PSNR: 26.98, Val_SSIM: 0.9569
Date: 2022-07-21 19:30:03s, Time_Cost: 123s, Epoch: [53/100], Train_PSNR: 29.96, Val_PSNR: 27.01, Val_SSIM: 0.9570
Date: 2022-07-21 19:32:06s, Time_Cost: 123s, Epoch: [54/100], Train_PSNR: 29.96, Val_PSNR: 26.98, Val_SSIM: 0.9568
Date: 2022-07-21 19:34:09s, Time_Cost: 123s, Epoch: [55/100], Train_PSNR: 29.95, Val_PSNR: 26.96, Val_SSIM: 0.9568
Date: 2022-07-21 19:36:12s, Time_Cost: 123s, Epoch: [56/100], Train_PSNR: 29.96, Val_PSNR: 27.08, Val_SSIM: 0.9574
Date: 2022-07-21 19:38:15s, Time_Cost: 123s, Epoch: [57/100], Train_PSNR: 29.96, Val_PSNR: 26.92, Val_SSIM: 0.9566
Date: 2022-07-21 19:40:18s, Time_Cost: 123s, Epoch: [58/100], Train_PSNR: 29.97, Val_PSNR: 27.00, Val_SSIM: 0.9568
Date: 2022-07-21 19:42:20s, Time_Cost: 123s, Epoch: [59/100], Train_PSNR: 29.98, Val_PSNR: 26.95, Val_SSIM: 0.9566
Date: 2022-07-21 19:44:23s, Time_Cost: 123s, Epoch: [60/100], Train_PSNR: 29.99, Val_PSNR: 26.95, Val_SSIM: 0.9566
Date: 2022-07-21 19:46:26s, Time_Cost: 123s, Epoch: [61/100], Train_PSNR: 29.99, Val_PSNR: 26.74, Val_SSIM: 0.9572
Date: 2022-07-21 19:48:29s, Time_Cost: 123s, Epoch: [62/100], Train_PSNR: 30.00, Val_PSNR: 26.72, Val_SSIM: 0.9567
Date: 2022-07-21 19:50:32s, Time_Cost: 123s, Epoch: [63/100], Train_PSNR: 29.99, Val_PSNR: 26.87, Val_SSIM: 0.9570
