Date: 2022-07-20 13:44:50s, Time_Cost: 119s, Epoch: [1/250], Train_PSNR: 15.53, Val_PSNR: 24.15, Val_SSIM: 0.8322
Date: 2022-07-20 13:46:52s, Time_Cost: 122s, Epoch: [2/250], Train_PSNR: 19.14, Val_PSNR: 25.83, Val_SSIM: 0.8940
Date: 2022-07-20 13:48:55s, Time_Cost: 123s, Epoch: [3/250], Train_PSNR: 20.81, Val_PSNR: 25.49, Val_SSIM: 0.9130
Date: 2022-07-20 13:50:58s, Time_Cost: 123s, Epoch: [4/250], Train_PSNR: 21.64, Val_PSNR: 28.24, Val_SSIM: 0.9175
Date: 2022-07-20 13:53:00s, Time_Cost: 122s, Epoch: [5/250], Train_PSNR: 22.35, Val_PSNR: 27.35, Val_SSIM: 0.9236
Date: 2022-07-20 13:55:04s, Time_Cost: 123s, Epoch: [6/250], Train_PSNR: 22.81, Val_PSNR: 27.14, Val_SSIM: 0.9328
Date: 2022-07-20 13:57:06s, Time_Cost: 123s, Epoch: [7/250], Train_PSNR: 23.24, Val_PSNR: 27.00, Val_SSIM: 0.9330
Date: 2022-07-20 13:59:10s, Time_Cost: 124s, Epoch: [8/250], Train_PSNR: 23.58, Val_PSNR: 24.32, Val_SSIM: 0.9253
Date: 2022-07-20 14:01:13s, Time_Cost: 123s, Epoch: [9/250], Train_PSNR: 23.96, Val_PSNR: 27.58, Val_SSIM: 0.9366
Date: 2022-07-20 14:03:15s, Time_Cost: 122s, Epoch: [10/250], Train_PSNR: 24.26, Val_PSNR: 26.79, Val_SSIM: 0.9322
Date: 2022-07-20 14:05:17s, Time_Cost: 122s, Epoch: [11/250], Train_PSNR: 24.52, Val_PSNR: 27.87, Val_SSIM: 0.9349
Date: 2022-07-20 14:07:21s, Time_Cost: 123s, Epoch: [12/250], Train_PSNR: 24.70, Val_PSNR: 28.63, Val_SSIM: 0.9401
Date: 2022-07-20 14:09:24s, Time_Cost: 123s, Epoch: [13/250], Train_PSNR: 24.92, Val_PSNR: 27.11, Val_SSIM: 0.9343
Date: 2022-07-20 14:11:27s, Time_Cost: 123s, Epoch: [14/250], Train_PSNR: 25.15, Val_PSNR: 27.07, Val_SSIM: 0.9383
Date: 2022-07-20 14:13:28s, Time_Cost: 121s, Epoch: [15/250], Train_PSNR: 25.35, Val_PSNR: 28.82, Val_SSIM: 0.9441
Date: 2022-07-20 14:15:33s, Time_Cost: 124s, Epoch: [16/250], Train_PSNR: 25.38, Val_PSNR: 27.71, Val_SSIM: 0.9393
Date: 2022-07-20 14:17:36s, Time_Cost: 123s, Epoch: [17/250], Train_PSNR: 25.61, Val_PSNR: 28.61, Val_SSIM: 0.9447
Date: 2022-07-20 14:19:38s, Time_Cost: 122s, Epoch: [18/250], Train_PSNR: 25.72, Val_PSNR: 27.61, Val_SSIM: 0.9430
Date: 2022-07-20 14:21:42s, Time_Cost: 124s, Epoch: [19/250], Train_PSNR: 26.09, Val_PSNR: 28.30, Val_SSIM: 0.9432
Date: 2022-07-20 14:23:45s, Time_Cost: 124s, Epoch: [20/250], Train_PSNR: 26.36, Val_PSNR: 27.79, Val_SSIM: 0.9407
Date: 2022-07-20 14:25:49s, Time_Cost: 123s, Epoch: [21/250], Train_PSNR: 26.60, Val_PSNR: 27.01, Val_SSIM: 0.9399
Date: 2022-07-20 14:27:52s, Time_Cost: 123s, Epoch: [22/250], Train_PSNR: 26.73, Val_PSNR: 27.64, Val_SSIM: 0.9411
Date: 2022-07-20 14:29:54s, Time_Cost: 122s, Epoch: [23/250], Train_PSNR: 26.93, Val_PSNR: 28.27, Val_SSIM: 0.9431
Date: 2022-07-20 14:31:57s, Time_Cost: 122s, Epoch: [24/250], Train_PSNR: 27.03, Val_PSNR: 28.09, Val_SSIM: 0.9428
Date: 2022-07-20 14:34:00s, Time_Cost: 123s, Epoch: [25/250], Train_PSNR: 27.18, Val_PSNR: 27.84, Val_SSIM: 0.9431
Date: 2022-07-20 14:36:02s, Time_Cost: 123s, Epoch: [26/250], Train_PSNR: 27.32, Val_PSNR: 27.59, Val_SSIM: 0.9398
Date: 2022-07-20 14:38:07s, Time_Cost: 124s, Epoch: [27/250], Train_PSNR: 27.44, Val_PSNR: 28.33, Val_SSIM: 0.9432
Date: 2022-07-20 14:40:09s, Time_Cost: 123s, Epoch: [28/250], Train_PSNR: 27.52, Val_PSNR: 27.43, Val_SSIM: 0.9405
Date: 2022-07-20 14:42:13s, Time_Cost: 124s, Epoch: [29/250], Train_PSNR: 27.63, Val_PSNR: 27.92, Val_SSIM: 0.9394
Date: 2022-07-20 14:44:16s, Time_Cost: 123s, Epoch: [30/250], Train_PSNR: 27.72, Val_PSNR: 26.32, Val_SSIM: 0.9345
Date: 2022-07-20 14:46:19s, Time_Cost: 123s, Epoch: [31/250], Train_PSNR: 27.78, Val_PSNR: 28.09, Val_SSIM: 0.9421
Date: 2022-07-20 14:48:22s, Time_Cost: 123s, Epoch: [32/250], Train_PSNR: 27.88, Val_PSNR: 27.13, Val_SSIM: 0.9393
Date: 2022-07-20 14:50:26s, Time_Cost: 124s, Epoch: [33/250], Train_PSNR: 27.96, Val_PSNR: 27.51, Val_SSIM: 0.9385
