Date: 2022-07-21 12:26:28s, Time_Cost: 118s, Epoch: [1/250], Train_PSNR: 15.85, Val_PSNR: 23.79, Val_SSIM: 0.8148
Date: 2022-07-21 12:28:30s, Time_Cost: 122s, Epoch: [2/250], Train_PSNR: 19.63, Val_PSNR: 24.02, Val_SSIM: 0.8990
Date: 2022-07-21 12:30:32s, Time_Cost: 121s, Epoch: [3/250], Train_PSNR: 21.26, Val_PSNR: 27.11, Val_SSIM: 0.9253
Date: 2022-07-21 12:32:33s, Time_Cost: 121s, Epoch: [4/250], Train_PSNR: 22.24, Val_PSNR: 28.07, Val_SSIM: 0.9294
Date: 2022-07-21 12:34:36s, Time_Cost: 123s, Epoch: [5/250], Train_PSNR: 22.82, Val_PSNR: 28.95, Val_SSIM: 0.9340
Date: 2022-07-21 12:36:38s, Time_Cost: 122s, Epoch: [6/250], Train_PSNR: 23.29, Val_PSNR: 24.99, Val_SSIM: 0.9389
Date: 2022-07-21 12:38:40s, Time_Cost: 122s, Epoch: [7/250], Train_PSNR: 23.77, Val_PSNR: 28.55, Val_SSIM: 0.9442
Date: 2022-07-21 12:40:42s, Time_Cost: 121s, Epoch: [8/250], Train_PSNR: 24.19, Val_PSNR: 29.39, Val_SSIM: 0.9493
Date: 2022-07-21 12:42:45s, Time_Cost: 123s, Epoch: [9/250], Train_PSNR: 24.65, Val_PSNR: 28.31, Val_SSIM: 0.9502
Date: 2022-07-21 12:44:47s, Time_Cost: 122s, Epoch: [10/250], Train_PSNR: 24.98, Val_PSNR: 29.40, Val_SSIM: 0.9490
Date: 2022-07-21 12:46:50s, Time_Cost: 123s, Epoch: [11/250], Train_PSNR: 25.31, Val_PSNR: 29.78, Val_SSIM: 0.9526
Date: 2022-07-21 12:48:53s, Time_Cost: 122s, Epoch: [12/250], Train_PSNR: 25.59, Val_PSNR: 30.24, Val_SSIM: 0.9559
Date: 2022-07-21 12:50:55s, Time_Cost: 122s, Epoch: [13/250], Train_PSNR: 26.05, Val_PSNR: 29.63, Val_SSIM: 0.9606
Date: 2022-07-21 12:52:58s, Time_Cost: 123s, Epoch: [14/250], Train_PSNR: 26.35, Val_PSNR: 30.78, Val_SSIM: 0.9617
Date: 2022-07-21 12:55:01s, Time_Cost: 122s, Epoch: [15/250], Train_PSNR: 26.62, Val_PSNR: 30.46, Val_SSIM: 0.9604
Date: 2022-07-21 12:57:03s, Time_Cost: 122s, Epoch: [16/250], Train_PSNR: 26.87, Val_PSNR: 30.05, Val_SSIM: 0.9604
Date: 2022-07-21 12:59:04s, Time_Cost: 121s, Epoch: [17/250], Train_PSNR: 27.36, Val_PSNR: 29.97, Val_SSIM: 0.9614
Date: 2022-07-21 13:01:06s, Time_Cost: 122s, Epoch: [18/250], Train_PSNR: 27.53, Val_PSNR: 30.06, Val_SSIM: 0.9584
Date: 2022-07-21 13:03:08s, Time_Cost: 122s, Epoch: [19/250], Train_PSNR: 27.50, Val_PSNR: 29.93, Val_SSIM: 0.9637
Date: 2022-07-21 13:05:11s, Time_Cost: 122s, Epoch: [20/250], Train_PSNR: 26.83, Val_PSNR: 23.41, Val_SSIM: 0.8762
Date: 2022-07-21 13:07:13s, Time_Cost: 122s, Epoch: [21/250], Train_PSNR: 22.28, Val_PSNR: 28.88, Val_SSIM: 0.9517
Date: 2022-07-21 13:09:15s, Time_Cost: 122s, Epoch: [22/250], Train_PSNR: 24.19, Val_PSNR: 30.24, Val_SSIM: 0.9569
Date: 2022-07-21 13:11:17s, Time_Cost: 122s, Epoch: [23/250], Train_PSNR: 24.83, Val_PSNR: 30.41, Val_SSIM: 0.9590
Date: 2022-07-21 13:13:19s, Time_Cost: 122s, Epoch: [24/250], Train_PSNR: 25.59, Val_PSNR: 30.12, Val_SSIM: 0.9634
Date: 2022-07-21 13:15:20s, Time_Cost: 122s, Epoch: [25/250], Train_PSNR: 23.87, Val_PSNR: 28.65, Val_SSIM: 0.9540
Date: 2022-07-21 13:17:22s, Time_Cost: 122s, Epoch: [26/250], Train_PSNR: 25.26, Val_PSNR: 30.66, Val_SSIM: 0.9598
Date: 2022-07-21 13:19:24s, Time_Cost: 121s, Epoch: [27/250], Train_PSNR: 26.14, Val_PSNR: 30.44, Val_SSIM: 0.9580
Date: 2022-07-21 13:21:25s, Time_Cost: 121s, Epoch: [28/250], Train_PSNR: 26.53, Val_PSNR: 31.66, Val_SSIM: 0.9628
Date: 2022-07-21 13:23:28s, Time_Cost: 122s, Epoch: [29/250], Train_PSNR: 27.09, Val_PSNR: 28.66, Val_SSIM: 0.9639
Date: 2022-07-21 13:25:31s, Time_Cost: 123s, Epoch: [30/250], Train_PSNR: 27.19, Val_PSNR: 29.64, Val_SSIM: 0.9642
Date: 2022-07-21 13:27:33s, Time_Cost: 123s, Epoch: [31/250], Train_PSNR: 27.83, Val_PSNR: 30.25, Val_SSIM: 0.9654
Date: 2022-07-21 13:29:37s, Time_Cost: 123s, Epoch: [32/250], Train_PSNR: 28.31, Val_PSNR: 28.91, Val_SSIM: 0.9651
Date: 2022-07-21 13:31:40s, Time_Cost: 123s, Epoch: [33/250], Train_PSNR: 28.36, Val_PSNR: 29.40, Val_SSIM: 0.9634
Date: 2022-07-21 13:33:42s, Time_Cost: 122s, Epoch: [34/250], Train_PSNR: 28.73, Val_PSNR: 28.44, Val_SSIM: 0.9639
Date: 2022-07-21 13:35:44s, Time_Cost: 122s, Epoch: [35/250], Train_PSNR: 28.92, Val_PSNR: 27.39, Val_SSIM: 0.9635
Date: 2022-07-21 13:37:47s, Time_Cost: 122s, Epoch: [36/250], Train_PSNR: 29.02, Val_PSNR: 27.62, Val_SSIM: 0.9652
Date: 2022-07-21 13:39:49s, Time_Cost: 123s, Epoch: [37/250], Train_PSNR: 29.12, Val_PSNR: 27.61, Val_SSIM: 0.9656
Date: 2022-07-21 13:41:51s, Time_Cost: 121s, Epoch: [38/250], Train_PSNR: 29.07, Val_PSNR: 27.34, Val_SSIM: 0.9642
Date: 2022-07-21 13:43:53s, Time_Cost: 122s, Epoch: [39/250], Train_PSNR: 29.19, Val_PSNR: 27.52, Val_SSIM: 0.9650
Date: 2022-07-21 13:45:56s, Time_Cost: 123s, Epoch: [40/250], Train_PSNR: 29.32, Val_PSNR: 28.17, Val_SSIM: 0.9603
Date: 2022-07-21 13:47:59s, Time_Cost: 123s, Epoch: [41/250], Train_PSNR: 29.38, Val_PSNR: 26.69, Val_SSIM: 0.9644
Date: 2022-07-21 13:50:01s, Time_Cost: 122s, Epoch: [42/250], Train_PSNR: 29.39, Val_PSNR: 27.08, Val_SSIM: 0.9635
Date: 2022-07-21 13:52:03s, Time_Cost: 122s, Epoch: [43/250], Train_PSNR: 29.03, Val_PSNR: 27.67, Val_SSIM: 0.9653
Date: 2022-07-21 13:54:05s, Time_Cost: 122s, Epoch: [44/250], Train_PSNR: 29.52, Val_PSNR: 27.57, Val_SSIM: 0.9626
Date: 2022-07-21 13:56:07s, Time_Cost: 122s, Epoch: [45/250], Train_PSNR: 29.67, Val_PSNR: 27.37, Val_SSIM: 0.9644
Date: 2022-07-21 13:58:08s, Time_Cost: 122s, Epoch: [46/250], Train_PSNR: 29.51, Val_PSNR: 27.78, Val_SSIM: 0.9617
Date: 2022-07-21 14:00:11s, Time_Cost: 122s, Epoch: [47/250], Train_PSNR: 29.75, Val_PSNR: 27.49, Val_SSIM: 0.9652
Date: 2022-07-21 14:02:12s, Time_Cost: 122s, Epoch: [48/250], Train_PSNR: 29.88, Val_PSNR: 28.32, Val_SSIM: 0.9647
Date: 2022-07-21 14:04:14s, Time_Cost: 122s, Epoch: [49/250], Train_PSNR: 28.86, Val_PSNR: 26.68, Val_SSIM: 0.9600
Date: 2022-07-21 14:06:15s, Time_Cost: 120s, Epoch: [50/250], Train_PSNR: 29.78, Val_PSNR: 26.93, Val_SSIM: 0.9643
Date: 2022-07-21 14:08:17s, Time_Cost: 122s, Epoch: [51/250], Train_PSNR: 30.18, Val_PSNR: 28.18, Val_SSIM: 0.9625
Date: 2022-07-21 14:10:19s, Time_Cost: 122s, Epoch: [52/250], Train_PSNR: 29.98, Val_PSNR: 27.70, Val_SSIM: 0.9656
Date: 2022-07-21 14:12:22s, Time_Cost: 123s, Epoch: [53/250], Train_PSNR: 30.26, Val_PSNR: 27.70, Val_SSIM: 0.9653
Date: 2022-07-21 14:14:26s, Time_Cost: 124s, Epoch: [54/250], Train_PSNR: 30.14, Val_PSNR: 27.25, Val_SSIM: 0.9645
Date: 2022-07-21 14:16:29s, Time_Cost: 123s, Epoch: [55/250], Train_PSNR: 29.87, Val_PSNR: 28.52, Val_SSIM: 0.9639
Date: 2022-07-21 14:18:31s, Time_Cost: 122s, Epoch: [56/250], Train_PSNR: 29.91, Val_PSNR: 27.05, Val_SSIM: 0.9613
Date: 2022-07-21 14:20:34s, Time_Cost: 123s, Epoch: [57/250], Train_PSNR: 30.24, Val_PSNR: 26.56, Val_SSIM: 0.9650
Date: 2022-07-21 14:22:36s, Time_Cost: 123s, Epoch: [58/250], Train_PSNR: 30.10, Val_PSNR: 26.88, Val_SSIM: 0.9628
Date: 2022-07-21 14:24:38s, Time_Cost: 122s, Epoch: [59/250], Train_PSNR: 30.50, Val_PSNR: 26.28, Val_SSIM: 0.9596
Date: 2022-07-21 14:26:41s, Time_Cost: 122s, Epoch: [60/250], Train_PSNR: 30.64, Val_PSNR: 27.41, Val_SSIM: 0.9642
Date: 2022-07-21 14:28:43s, Time_Cost: 122s, Epoch: [61/250], Train_PSNR: 30.63, Val_PSNR: 28.06, Val_SSIM: 0.9670
Date: 2022-07-21 14:30:45s, Time_Cost: 122s, Epoch: [62/250], Train_PSNR: 29.55, Val_PSNR: 26.27, Val_SSIM: 0.9614
Date: 2022-07-21 14:32:48s, Time_Cost: 123s, Epoch: [63/250], Train_PSNR: 30.50, Val_PSNR: 27.08, Val_SSIM: 0.9636
Date: 2022-07-21 14:34:50s, Time_Cost: 122s, Epoch: [64/250], Train_PSNR: 30.77, Val_PSNR: 26.66, Val_SSIM: 0.9624
Date: 2022-07-21 14:36:52s, Time_Cost: 123s, Epoch: [65/250], Train_PSNR: 30.82, Val_PSNR: 27.66, Val_SSIM: 0.9650
Date: 2022-07-21 14:38:55s, Time_Cost: 122s, Epoch: [66/250], Train_PSNR: 30.88, Val_PSNR: 26.84, Val_SSIM: 0.9642
Date: 2022-07-21 14:40:57s, Time_Cost: 122s, Epoch: [67/250], Train_PSNR: 29.77, Val_PSNR: 26.72, Val_SSIM: 0.9637
Date: 2022-07-21 14:42:59s, Time_Cost: 123s, Epoch: [68/250], Train_PSNR: 30.49, Val_PSNR: 26.78, Val_SSIM: 0.9633
Date: 2022-07-21 14:45:01s, Time_Cost: 122s, Epoch: [69/250], Train_PSNR: 31.05, Val_PSNR: 26.83, Val_SSIM: 0.9637
Date: 2022-07-21 14:47:05s, Time_Cost: 123s, Epoch: [70/250], Train_PSNR: 31.12, Val_PSNR: 26.68, Val_SSIM: 0.9615
Date: 2022-07-21 14:49:07s, Time_Cost: 123s, Epoch: [71/250], Train_PSNR: 31.16, Val_PSNR: 26.88, Val_SSIM: 0.9637
Date: 2022-07-21 14:51:09s, Time_Cost: 122s, Epoch: [72/250], Train_PSNR: 31.01, Val_PSNR: 27.36, Val_SSIM: 0.9643
Date: 2022-07-21 14:53:12s, Time_Cost: 123s, Epoch: [73/250], Train_PSNR: 31.25, Val_PSNR: 27.73, Val_SSIM: 0.9654
Date: 2022-07-21 14:55:15s, Time_Cost: 122s, Epoch: [74/250], Train_PSNR: 31.11, Val_PSNR: 27.21, Val_SSIM: 0.9637
Date: 2022-07-21 14:57:17s, Time_Cost: 122s, Epoch: [75/250], Train_PSNR: 31.17, Val_PSNR: 26.82, Val_SSIM: 0.9636
Date: 2022-07-21 14:59:19s, Time_Cost: 123s, Epoch: [76/250], Train_PSNR: 30.54, Val_PSNR: 26.17, Val_SSIM: 0.9609
Date: 2022-07-21 15:01:21s, Time_Cost: 122s, Epoch: [77/250], Train_PSNR: 29.99, Val_PSNR: 26.52, Val_SSIM: 0.9616
Date: 2022-07-21 15:03:23s, Time_Cost: 122s, Epoch: [78/250], Train_PSNR: 31.18, Val_PSNR: 26.63, Val_SSIM: 0.9617
Date: 2022-07-21 15:05:25s, Time_Cost: 122s, Epoch: [79/250], Train_PSNR: 31.46, Val_PSNR: 26.42, Val_SSIM: 0.9617
Date: 2022-07-21 15:07:27s, Time_Cost: 122s, Epoch: [80/250], Train_PSNR: 31.43, Val_PSNR: 26.81, Val_SSIM: 0.9631
Date: 2022-07-21 15:09:29s, Time_Cost: 122s, Epoch: [81/250], Train_PSNR: 31.55, Val_PSNR: 27.12, Val_SSIM: 0.9631
Date: 2022-07-21 15:11:32s, Time_Cost: 123s, Epoch: [82/250], Train_PSNR: 31.53, Val_PSNR: 26.68, Val_SSIM: 0.9632
Date: 2022-07-21 15:13:34s, Time_Cost: 123s, Epoch: [83/250], Train_PSNR: 31.47, Val_PSNR: 26.61, Val_SSIM: 0.9627
Date: 2022-07-21 15:15:36s, Time_Cost: 122s, Epoch: [84/250], Train_PSNR: 31.19, Val_PSNR: 27.54, Val_SSIM: 0.9651
Date: 2022-07-21 15:17:38s, Time_Cost: 122s, Epoch: [85/250], Train_PSNR: 30.17, Val_PSNR: 27.72, Val_SSIM: 0.9643
Date: 2022-07-21 15:19:40s, Time_Cost: 122s, Epoch: [86/250], Train_PSNR: 31.44, Val_PSNR: 27.39, Val_SSIM: 0.9657
Date: 2022-07-21 15:21:44s, Time_Cost: 124s, Epoch: [87/250], Train_PSNR: 31.71, Val_PSNR: 27.01, Val_SSIM: 0.9643
Date: 2022-07-21 15:23:46s, Time_Cost: 122s, Epoch: [88/250], Train_PSNR: 31.79, Val_PSNR: 26.65, Val_SSIM: 0.9634
Date: 2022-07-21 15:25:48s, Time_Cost: 122s, Epoch: [89/250], Train_PSNR: 31.75, Val_PSNR: 26.70, Val_SSIM: 0.9622
