Date: 2022-07-20 19:39:02s, Time_Cost: 117s, Epoch: [1/250], Train_PSNR: 15.85, Val_PSNR: 23.79, Val_SSIM: 0.8148
Date: 2022-07-20 19:41:04s, Time_Cost: 122s, Epoch: [2/250], Train_PSNR: 19.63, Val_PSNR: 24.69, Val_SSIM: 0.8974
Date: 2022-07-20 19:43:07s, Time_Cost: 122s, Epoch: [3/250], Train_PSNR: 21.23, Val_PSNR: 27.63, Val_SSIM: 0.9249
Date: 2022-07-20 19:45:08s, Time_Cost: 121s, Epoch: [4/250], Train_PSNR: 22.22, Val_PSNR: 28.40, Val_SSIM: 0.9316
Date: 2022-07-20 19:47:10s, Time_Cost: 121s, Epoch: [5/250], Train_PSNR: 22.83, Val_PSNR: 29.23, Val_SSIM: 0.9372
Date: 2022-07-20 19:49:12s, Time_Cost: 121s, Epoch: [6/250], Train_PSNR: 23.31, Val_PSNR: 26.21, Val_SSIM: 0.9430
Date: 2022-07-20 19:51:13s, Time_Cost: 121s, Epoch: [7/250], Train_PSNR: 23.65, Val_PSNR: 29.49, Val_SSIM: 0.9464
Date: 2022-07-20 19:53:16s, Time_Cost: 122s, Epoch: [8/250], Train_PSNR: 24.22, Val_PSNR: 28.24, Val_SSIM: 0.9518
Date: 2022-07-20 19:55:18s, Time_Cost: 122s, Epoch: [9/250], Train_PSNR: 24.55, Val_PSNR: 28.56, Val_SSIM: 0.9531
Date: 2022-07-20 19:57:20s, Time_Cost: 122s, Epoch: [10/250], Train_PSNR: 24.98, Val_PSNR: 28.20, Val_SSIM: 0.9514
Date: 2022-07-20 19:59:22s, Time_Cost: 122s, Epoch: [11/250], Train_PSNR: 25.24, Val_PSNR: 29.43, Val_SSIM: 0.9557
Date: 2022-07-20 20:01:24s, Time_Cost: 122s, Epoch: [12/250], Train_PSNR: 25.59, Val_PSNR: 30.00, Val_SSIM: 0.9561
Date: 2022-07-20 20:03:27s, Time_Cost: 123s, Epoch: [13/250], Train_PSNR: 25.97, Val_PSNR: 28.97, Val_SSIM: 0.9603
Date: 2022-07-20 20:05:30s, Time_Cost: 123s, Epoch: [14/250], Train_PSNR: 26.37, Val_PSNR: 29.65, Val_SSIM: 0.9598
Date: 2022-07-20 20:07:31s, Time_Cost: 122s, Epoch: [15/250], Train_PSNR: 26.75, Val_PSNR: 30.78, Val_SSIM: 0.9589
Date: 2022-07-20 20:09:34s, Time_Cost: 122s, Epoch: [16/250], Train_PSNR: 21.40, Val_PSNR: 29.49, Val_SSIM: 0.9474
Date: 2022-07-20 20:11:36s, Time_Cost: 122s, Epoch: [17/250], Train_PSNR: 23.17, Val_PSNR: 28.53, Val_SSIM: 0.9476
Date: 2022-07-20 20:13:38s, Time_Cost: 121s, Epoch: [18/250], Train_PSNR: 24.01, Val_PSNR: 27.85, Val_SSIM: 0.9559
Date: 2022-07-20 20:15:40s, Time_Cost: 122s, Epoch: [19/250], Train_PSNR: 24.49, Val_PSNR: 29.33, Val_SSIM: 0.9573
